time,rssi
1627773171.5,-82
1627773171.5,-82
1627773171.5,-83
1627773309.247,-46
1627773309.247,-47
1627773309.247,-48
1627773309.247,-53
1627773309.247,-68
1627773309.247,-68
1627773309.247,-71
1627773309.247,-77
1627773309.247,-80
1627773309.247,-80
1627773309.247,-80
1627773309.247,-82
1627774054.778,-46
1627774054.778,-47
1627774054.778,-48
1627774054.778,-51
1627774054.778,-66
1627774054.778,-72
1627774054.778,-79
1627774054.778,-80
1627774054.778,-81
1627774054.778,-81
1627774054.778,-81
1627774054.778,-81
1627774341.645,-48
1627774341.645,-48
1627774341.645,-51
1627774341.645,-53
1627774341.645,-67
1627774341.645,-68
1627774341.645,-73
1627774341.645,-79
1627774341.645,-80
1627774341.645,-81
1627774479.566,-46
1627774479.566,-48
1627774479.566,-48
1627774479.566,-52
1627774479.566,-68
1627774479.566,-73
1627774479.566,-76
1627774479.566,-78
1627774479.566,-81
1627774479.566,-81
1627774479.566,-81
1627774479.566,-84
1627775078.136,-46
1627775078.136,-46
1627775078.136,-50
1627775078.136,-52
1627775078.136,-68
1627775078.136,-74
1627775078.136,-74
1627775078.136,-74
1627775078.136,-78
1627775078.136,-80
1627775078.136,-80
1627775078.136,-81
1627775273.244,-46
1627775273.244,-46
1627775273.244,-51
1627775273.244,-53
1627775273.244,-67
1627775273.244,-69
1627775273.244,-74
1627775273.244,-74
1627775273.244,-77
1627775273.244,-79
1627775273.244,-79
1627775273.244,-80
1627775273.244,-81
1627775273.244,-83
1627775729.448,-46
1627775729.448,-49
1627775729.448,-51
1627775729.448,-51
1627775729.448,-70
1627775729.448,-70
1627775729.448,-72
1627775729.448,-77
1627775729.448,-79
1627775729.448,-80
1627775729.448,-81
1627775729.448,-82
1627776005.004,-45
1627776005.004,-48
1627776005.004,-51
1627776005.004,-52
1627776005.004,-67
1627776005.004,-70
1627776005.004,-71
1627776005.004,-75
1627776005.004,-79
1627776005.004,-79
1627776005.004,-80
1627776005.004,-81
1627776607.997,-46
1627776607.997,-46
1627776607.997,-51
1627776607.997,-51
1627776607.997,-65
1627776607.997,-70
1627776607.997,-71
1627776607.997,-76
1627776607.997,-80
1627776607.997,-81
1627776607.997,-83
1627776613.97,-46
1627776613.97,-47
1627776613.97,-50
1627776613.97,-68
1627776613.97,-71
1627776613.97,-78
1627776613.97,-79
1627776613.97,-80
1627776613.97,-83
1627777073.539,-46
1627777073.539,-47
1627777073.539,-50
1627777073.539,-50
1627777073.539,-67
1627777073.539,-70
1627777073.539,-70
1627777073.539,-71
1627777073.539,-79
1627777073.539,-81
1627777073.539,-82
1627777527.02,-46
1627777527.02,-46
1627777527.02,-52
1627777527.02,-52
1627777527.02,-68
1627777527.02,-68
1627777527.02,-71
1627777527.02,-78
1627777527.02,-80
1627777527.02,-83
1627777527.02,-86
1627777941.389,-46
1627777941.389,-46
1627777941.389,-52
1627777941.389,-52
1627777941.389,-67
1627777941.389,-71
1627777941.389,-80
1627777941.389,-81
1627777941.389,-83
1627778571.864,-44
1627778571.864,-51
1627778571.864,-59
1627778571.864,-61
1627778571.864,-66
1627778571.864,-66
1627778571.864,-70
1627778571.864,-72
1627778571.864,-75
1627778571.864,-87
1627778586.258,-44
1627778586.258,-60
1627778586.258,-62
1627778586.258,-62
1627778586.258,-66
1627778586.258,-68
1627778586.258,-69
1627778586.258,-70
1627778586.258,-75
1627778586.258,-84
1627778586.258,-85
1627778586.258,-86
1627778586.258,-86
1627778601.132,-51
1627778601.132,-57
1627778601.132,-60
1627778601.132,-62
1627778601.132,-64
1627778601.132,-64
1627778601.132,-66
1627778601.132,-67
1627778601.132,-73
1627778601.132,-74
1627778601.132,-76
1627778601.132,-77
1627778601.132,-80
1627778601.132,-80
1627778601.132,-87
1627778623.919,-43
1627778623.919,-49
1627778623.919,-53
1627778623.919,-57
1627778623.919,-66
1627778623.919,-68
1627778623.919,-73
1627778623.919,-80
1627778623.919,-83
1627778982.908,0
1627779127.008,-40
1627779127.008,-41
1627779127.008,-48
1627779127.008,-48
1627779127.008,-50
1627779127.008,-56
1627779127.008,-57
1627779127.008,-58
1627779127.008,-59
1627779127.008,-62
1627779127.008,-66
1627779127.008,-68
1627779127.008,-71
1627779127.008,-72
1627779127.008,-73
1627779127.008,-79
1627779127.008,-80
1627779127.008,-82
1627779169.111,-41
1627779169.111,-48
1627779169.111,-49
1627779169.111,-60
1627779169.111,-61
1627779169.111,-61
1627779169.111,-65
1627779169.111,-68
1627779169.111,-69
1627779169.111,-74
1627779169.111,-77
1627779169.111,-83
1627779169.111,-84
1627779189.249,-40
1627779189.249,-49
1627779189.249,-50
1627779189.249,-50
1627779189.249,-61
1627779189.249,-67
1627779189.249,-69
1627779189.249,-69
1627779189.249,-69
1627779189.249,-71
1627779189.249,-75
1627779189.249,-78
1627779189.249,-80
1627779189.249,-84
1627779229.073,-38
1627779229.073,-47
1627779229.073,-49
1627779229.073,-49
1627779229.073,-60
1627779229.073,-62
1627779229.073,-64
1627779229.073,-68
1627779229.073,-69
1627779229.073,-69
1627779229.073,-79
1627779229.073,-83
1627779328.895,-41
1627779328.895,-46
1627779328.895,-49
1627779328.895,-50
1627779328.895,-56
1627779328.895,-60
1627779328.895,-61
1627779328.895,-62
1627779328.895,-69
1627779328.895,-70
1627779328.895,-79
1627779328.895,-84
1627779334.743,-43
1627779334.743,-46
1627779334.743,-50
1627779334.743,-50
1627779334.743,-61
1627779334.743,-69
1627779334.743,-69
1627779334.743,-74
1627779334.743,-79
1627779334.743,-84
1627779488.191,-42
1627779488.191,-48
1627779488.191,-50
1627779488.191,-50
1627779488.191,-58
1627779488.191,-63
1627779488.191,-63
1627779488.191,-65
1627779488.191,-69
1627779488.191,-76
1627779488.191,-81
1627779488.191,-83
1627779748.558,-39
1627779748.558,-46
1627779748.558,-51
1627779748.558,-54
1627779748.558,-63
1627779748.558,-75
1627779748.558,-81
1627779748.558,-82
1627780004.166,-32
1627780004.166,-39
1627780004.166,-44
1627780004.166,-54
1627780004.166,-55
1627780004.166,-60
1627780004.166,-70
1627780004.166,-77
1627780004.166,-84
1627780004.166,-86
1627780509.175,-31
1627780509.175,-34
1627780509.175,-39
1627780509.175,-43
1627780509.175,-54
1627780509.175,-55
1627780509.175,-61
1627780509.175,-62
1627780509.175,-68
1627780509.175,-69
1627780509.175,-69
1627780509.175,-69
1627780509.175,-76
1627780509.175,-79
1627780509.175,-82
1627780509.175,-87
1627781253.957,-39
1627781253.957,-39
1627781253.957,-43
1627781253.957,-55
1627781253.957,-55
1627781253.957,-66
1627781253.957,-70
1627781253.957,-77
1627781253.957,-86
1627781677.273,-32
1627781677.273,-39
1627781677.273,-44
1627781677.273,-55
1627781677.273,-55
1627781677.273,-61
1627781677.273,-67
1627781677.273,-68
1627781677.273,-69
1627781677.273,-76
1627781677.273,-80
1627781677.273,-84
1627781677.273,-86
1627782287.376,-39
1627782287.376,-42
1627782287.376,-54
1627782287.376,-55
1627782287.376,-61
1627782287.376,-66
1627782287.376,-68
1627782287.376,-68
1627782287.376,-69
1627782287.376,-77
1627782287.376,-81
1627782287.376,-82
1627782287.376,-86
1627782928.814,-31
1627782928.814,-35
1627782928.814,-39
1627782928.814,-43
1627782928.814,-54
1627782928.814,-55
1627782928.814,-70
1627782928.814,-76
1627782928.814,-78
1627782928.814,-83
1627782928.814,-86
1627783192.406,-32
1627783192.406,-39
1627783192.406,-42
1627783192.406,-54
1627783192.406,-55
1627783192.406,-58
1627783192.406,-64
1627783192.406,-64
1627783192.406,-67
1627783192.406,-68
1627783192.406,-69
1627783192.406,-69
1627783192.406,-74
1627783192.406,-85
1627783192.406,-86
1627783491.847,-34
1627783491.847,-39
1627783491.847,-41
1627783491.847,-54
1627783491.847,-55
1627783491.847,-62
1627783491.847,-65
1627783491.847,-69
1627783491.847,-76
1627783491.847,-81
1627783491.847,-82
1627783491.847,-83
1627783491.847,-85
1627783491.847,-85
1627783491.847,-87
1627784078.175,-34
1627784078.175,-39
1627784078.175,-41
1627784078.175,-54
1627784078.175,-55
1627784078.175,-62
1627784078.175,-65
1627784078.175,-69
1627784078.175,-76
1627784078.175,-81
1627784078.175,-82
1627784078.175,-83
1627784078.175,-85
1627784078.175,-85
1627784078.175,-87
1627784676.665,-34
1627784676.665,-39
1627784676.665,-41
1627784676.665,-54
1627784676.665,-55
1627784676.665,-62
