time,battery_level
1594072030.04,86
1594072114.474,87
1594072180.05,88
1594072298.793,89
1594072393.668,90
1594072513.658,91
1594072662.956,92
1594072747.249,93
1594072926.87,94
1594073031.512,95
1594073246.437,96
1594073413.668,97
1594073684.712,98
1594073893.678,99
1594074253.652,100
1594075033.677,100
1594075883.638,100
1594078753.667,100
1594082233.684,100
1594086133.676,100
1594087613.165,100
1594087613.549,100
1594087873.897,99
1594088017.442,98
1594088134.788,97
1594088446.167,96
1594088697.279,95
1594088707.848,94
1594088873.229,93
1594088997.09,92
1594089129.124,91
1594089261.234,90
1594089413.189,89
1594089470.184,89
1594089710.91,88
1594089976.336,87
1594090087.621,86
1594090461.584,85
1594090613.176,84
1594090834.151,83
1594091213.174,82
1594091561.496,80
1594091813.309,79
1594092062.48,78
1594092393.271,77
1594092794.902,75
1594093013.177,75
1594093156.945,74
1594093494.363,73
1594093575.459,72
1594093767.254,71
1594094042.039,70
1594094281.67,69
1594094535.467,68
1594094795.739,67
1594094937.383,66
1594095285.962,64
1594095616.684,63
1594095747.333,62
1594095983.1,61
1594096152.027,60
1594096613.238,59
1594096707.278,58
1594097023.268,57
1594097192.398,56
1594097335.614,55
1594097715.49,54
1594097725.146,53
1594098033.307,52
1594098222.301,51
1594098420.832,50
1594098720.786,49
1594098836.909,48
1594099013.17,48
1594099691.231,47
1594099756.197,46
1594099784.523,45
1594100213.187,44
1594100635.864,43
1594100853.529,42
1594100943.364,42
1594100944.091,42
1594100997.386,44
1594101073.175,45
1594101123.739,46
1594101183.737,47
1594101243.743,48
1594101303.739,49
1594101338.729,50
1594101405.499,51
1594101469.271,52
1594101536.03,53
1594101597.229,54
1594101639.43,55
1594101723.741,56
1594101731.952,57
1594101797.292,58
1594101823.697,58
1594101824.646,58
1594101840.316,58
1594101840.967,58
1594101843.285,59
1594101960.667,60
1594102052.835,61
1594102140.678,62
1594102200.677,63
1594102226.719,64
1594102315.894,65
1594102380.679,66
1594102473.926,67
1594102560.697,68
1594102619.242,68
1594102680.682,69
1594102751.774,70
1594102861.825,71
1594102973.413,72
1594103071.349,73
1594103155.851,74
1594103240.4,75
1594103367.772,76
1594103431.607,77
1594103541.757,78
1594103621.299,79
1594103748.257,80
1594103875.191,81
1594103940.687,82
1594104044.3,83
1594104107.148,84
1594104215.983,85
1594104300.666,86
1594104419.381,87
1594104504.02,88
1594104631.038,89
1594104702.314,90
1594104842.389,91
1594104988.577,92
1594105097.229,93
1594105260.66,94
1594105380.667,95
1594105426.894,95
1594105427.161,95
1594105478.003,94
1594105478.719,94
1594105530.783,95
1594105700.1,96
1594105837.415,97
1594106108.517,98
1594106250.347,98
1594106318.33,99
1594106715.897,100
1594106717.498,100
1594106717.717,100
1594106783.831,99
1594107126.584,98
1594107344.403,97
1594107988.811,96
1594108314.286,95
1594108796.912,94
1594108994.903,93
1594109113.038,92
1594109236.967,91
1594109528.466,90
1594109847.144,90
1594109908.8,89
1594110194.69,88
1594110680.206,87
1594111041.969,86
1594112004.432,85
1594112041.031,84
1594112616.86,83
1594112772.418,82
1594113021.577,80
1594113088.616,79
1594113217.117,78
1594113316.89,77
1594113453.366,77
1594113606.298,76
1594113625.166,75
1594113824.767,74
1594113916.863,73
1594114003.234,72
1594114054.45,71
1594114511.982,70
1594114809.911,69
1594115063.746,68
1594115194.771,67
1594115362.578,66
1594115814.103,64
1594115925.067,63
1594116056.103,62
1594116132.351,61
1594116192.507,60
1594116497.156,59
1594116554.902,58
1594116761.868,57
1594117068.613,57
1594117120.913,55
1594117802.48,54
1594117986.366,53
1594119006.237,52
1594119035.324,51
1594119715.326,51
1594119722.613,50
1594120893.659,49
1594120909.857,48
1594121857.974,47
1594122171.412,46
1594122198.117,45
1594123027.733,45
1594123288.127,44
1594123732.241,43
1594123970.171,42
1594124191.536,41
1594124231.681,39
1594124993.624,38
1594125171.948,37
1594125613.461,36
1594125685.298,35
1594125864.652,34
1594126397.327,33
1594126653.425,33
1594126713.487,32
1594126891.169,31
1594127099.131,30
1594127299.057,29
1594127688.003,28
1594127974.801,27
1594128023.74,26
1594128024.312,26
1594128084.485,27
1594128144.041,28
1594128203.981,29
1594128264.031,30
1594128324.023,31
1594128383.997,32
1594128413.048,33
1594128481.27,34
1594128544.984,35
1594128607.239,36
1594128669.504,37
1594128731.766,39
1594128794.083,40
1594128854.904,41
1594128914.216,42
1594128976.553,43
1594129034.439,44
1594129103.999,45
1594129117.502,46
1594129193.147,47
1594129267.279,48
1594129342.898,49
1594129404.001,50
1594129464,51
1594129524.011,52
1594129566.723,53
1594129637.914,54
1594129704.016,55
1594129764.026,56
1594129823.989,57
1594129915.392,58
1594129947.86,59
1594130023.486,60
1594130096.111,61
1594130168.202,62
1594130210.322,62
1594130243.982,63
1594130294.649,64
1594130364.023,65
1594130398.533,66
1594130472.663,67
1594130544.027,68
1594130631.973,69
1594130674.131,70
1594130754.293,70
1594130755.275,70
1594130793.834,70
1594130794.528,70
1594130854.334,71
1594130936.353,72
1594130991.115,73
1594130991.635,73
1594130992.325,73
1594130999.914,72
1594133321.795,71
1594133715.213,70
1594133840.594,70
1594133920.31,68
1594134348.637,67
1594134588.362,66
1594134671.05,65
1594135191.55,64
1594135560.031,63
1594136243.559,62
1594136951.55,61
1594137436.616,60
1594137539.907,59
1594138584.599,58
1594139391.497,57
1594140591.454,56
1594140593.821,55
1594140890.437,54
1594141010.584,53
1594141070.627,53
1594141093.628,52
1594141191.647,51
1594141360.602,50
1594141476.172,49
1594141656.317,48
1594141890.426,47
1594142112.359,47
1594142113.503,47
1594142172.923,48
1594142220.624,49
1594142285.872,50
1594142352.72,51
1594142412.717,52
1594142463.667,53
1594142532.716,54
1594142555.485,55
1594142619.15,56
1594142670.554,57
1594142748.042,58
1594142772.728,59
1594142832.736,60
1594142923.105,61
1594142934.561,62
1594143002.77,63
1594143049.565,64
